descripcion,categoria_slug,idioma,comercio
Metrobus,transporte,es,Metrobus
Transport,transporte,en,Transport
DECIMO TERCEIRO SAO PAULO,ingresos,pt,Decimo Terceiro
MISCELLANEOUS,otros,en,Miscellaneous
FARMACIAS SIMILARES,salud,es,Farmacias Similares
COMPRA TDC Hospital Angeles,salud,es,Hospital Angeles
Cafe Punta del Cielo *76RKQ4,alimentacion,es,Cafe Punta del Cielo
COMPRA EN CURSO DE INGLES HARMON HALL,educacion,es,Curso de Ingles Harmon Hall
Ponto Frio *NMTK1,compras,pt,Ponto Frio
Brokerage Deposit,ahorro_inversion,en,Brokerage Deposit
Transporte MERIDA,transporte,es,Transporte
Peaje Autopista Mexico Queretaro MERIDA,transporte,es,Peaje Autopista Mexico Queretaro
AHORRO PROGRAMADO,ahorro_inversion,es,Ahorro Programado
MANTENIMIENTO DEL HOGAR,vivienda,es,Mantenimiento del Hogar
BROKERAGE DEPOSIT,ahorro_inversion,en,Brokerage Deposit
COMPRA CARTAO RAPPI BRASIL,alimentacion,pt,Rappi Brasil
Fund Contribution LOS ANGELES,ahorro_inversion,en,Fund Contribution
ENTRETENIMIENTO,entretenimiento,es,Entretenimiento
PAGO SERVICIO Platzi Suscripcion,educacion,es,Platzi Suscripcion
Estacionamiento Centro,transporte,es,Estacionamiento Centro
Magazine Luiza,compras,pt,Magazine Luiza
ELECTRONICA,compras,es,Electronica
POS WALGREENS,salud,en,Walgreens
DEBITO AUTOMATICO Outback,alimentacion,pt,Outback
GAS ENCANADO,servicios,pt,Gas Encanado
PAGO Walmart,alimentacion,es,Walmart
TAXA DE CONDOMINIO,vivienda,pt,Taxa de Condominio
Despesa Diversa CURITIBA,otros,pt,Despesa Diversa
PAYMENT SPOTIFY USA,entretenimiento,en,Spotify USA
PAGAMENTO DE CLIENTE #2487,ingresos,pt,Pagamento de Cliente
Books MIAMI,educacion,en,Books
ELECTRICIDAD,servicios,es,Electricidad
RECURRING DISNEY PLUS US,entretenimiento,en,Disney Plus US
ACH Adidas US,compras,en,Adidas US
AZUL LINHAS AEREAS BR,transporte,pt,Azul Linhas Aereas
Optica Devlyn MEX,salud,es,Optica Devlyn
TED INGRESSO.COM SHOW,entretenimiento,pt,Ingresso.com Show
Netflix,entretenimiento,es,Netflix
CARD TACO BELL,alimentacion,en,Taco Bell
CARD FREELANCE PAYMENT RECEIVED,ingresos,en,Freelance Payment Received
Payroll,ingresos,en,Payroll
Intereses,finanzas,es,Intereses
Credit Card Payment,finanzas,en,Credit Card Payment
PAGO DE DEUDA,finanzas,es,Pago de Deuda
Plomeria Rapida MEX,vivienda,es,Plomeria Rapida
Deposito de Nomina #7522,ingresos,es,Deposito de Nomina
RAPPI,alimentacion,es,Rappi
ACH Rite Aid,salud,en,Rite Aid
TOLL,transporte,en,Toll
Suscripcion Streaming TIJUANA,entretenimiento,es,Suscripcion Streaming
Best Buy *BHMT69,compras,en,Best Buy
CVS PHARMACY *POY7,salud,en,CVS Pharmacy
Marisqueria La Costa MONTERREY,alimentacion,es,Marisqueria La Costa
DOM Bodega Aurrera,alimentacion,es,Bodega Aurrera
DROGASIL BR,salud,pt,Drogasil
Freelance Payment Received MIAMI,ingresos,en,Freelance Payment Received
Comision Bancaria,finanzas,es,Comision Bancaria
SABESP AGUA BR,servicios,pt,Sabesp Agua
IOF Operacao BR,finanzas,pt,IOF Operacao
Fuel,transporte,en,Fuel
COMPRA Netshoes,compras,pt,Netshoes
PAGO SERVICIO AMAZON PRIME VIDEO,entretenimiento,es,Amazon Prime Video
CARTAO Fundo de Investimento,ahorro_inversion,pt,Fundo de Investimento
